pool	type	individual_id
YS-LBYKF-2-S	Spleen	YS-LBYKF-2
YS-LBYKF-3-B	Brain	YS-LBYKF-3
YS-LBYKF-3-G	Gill	YS-LBYKF-3
YS-LBYKF-3-H	Liver	YS-LBYKF-3
YS-LBYKF-3-I	Intestine	YS-LBYKF-3
YS-LBYKF-3-K	Kidney	YS-LBYKF-3
YS-LBYKF-3-M	Muscles	YS-LBYKF-3
YS-LBYKF-3-P	Skin	YS-LBYKF-3
YS-LBYKF-3-S	Spleen	YS-LBYKF-3
YS-LTY-1-B	Brain	YS-LTY-1
YS-LTY-1-G	Gill	YS-LTY-1
YS-LTY-1-H	Liver	YS-LTY-1
YS-LTY-1-I	Intestine	YS-LTY-1
YS-LTY-1-K	Kidney	YS-LTY-1
YS-LTY-1-M	Muscles	YS-LTY-1
YS-LTY-1-P	Skin	YS-LTY-1
YS-LTY-1-S	Spleen	YS-LTY-1
YS-LTY-2-B	Brain	YS-LTY-2
YS-LTY-2-G	Gill	YS-LTY-2
YS-LTY-2-H	Liver	YS-LTY-2
YS-LTY-2-I	Intestine	YS-LTY-2
YS-LTY-2-K	Kidney	YS-LTY-2
YS-LTY-2-M	Muscles	YS-LTY-2
YS-LTY-2-P	Skin	YS-LTY-2
YS-LTY-2-S	Spleen	YS-LTY-2
YS-LTY-3-B	Brain	YS-LTY-3
YS-LTY-3-G	Gill	YS-LTY-3
YS-LTY-3-H	Liver	YS-LTY-3
YS-LTY-3-I	Intestine	YS-LTY-3
YS-LTY-3-K	Kidney	YS-LTY-3
YS-LTY-3-M	Muscles	YS-LTY-3
YS-LTY-3-P	Skin	YS-LTY-3
YS-LTY-3-S	Spleen	YS-LTY-3
YS-LY-2-B	Brain	YS-LY-2
YS-LY-2-G	Gill	YS-LY-2
YS-LY-2-H	Liver	YS-LY-2
YS-LY-2-I	Intestine	YS-LY-2
YS-LY-2-K	Kidney	YS-LY-2
YS-LY-2-M	Muscles	YS-LY-2
YS-LY-2-P	Skin	YS-LY-2
YS-LY-2-S	Spleen	YS-LY-2
YS-LY-3-B	Brain	YS-LY-3
YS-LY-3-G	Gill	YS-LY-3
YS-LY-3-H	Liver	YS-LY-3
YS-LY-3-I	Intestine	YS-LY-3
YS-LY-3-K	Kidney	YS-LY-3
YS-LY-3-M	Muscles	YS-LY-3
YS-LY-3-P	Skin	YS-LY-3
YS-LY-3-S	Spleen	YS-LY-3
YS-LYS-3-B	Brain	YS-LYS-3
YS-LYS-3-G	Gill	YS-LYS-3
YS-LYS-3-H	Liver	YS-LYS-3
YS-LYS-3-I	Intestine	YS-LYS-3
YS-LYS-3-K	Kidney	YS-LYS-3
