individual_id	organ_code	tissue	lib_index
YS-HSLT-3	I	Intestine	YS-HSLT-3-I
YS-HSLT-3	K	Kidney	YS-HSLT-3-K
YS-HSLT-3	M	Muscles	YS-HSLT-3-M
YS-HSLT-3	P	Skin	YS-HSLT-3-P
YS-HSLT-3	S	Spleen	YS-HSLT-3-S
YS-JSXSD-1	B	Brain	YS-JSXSD-1-B
YS-JSXSD-1	G	Gill	YS-JSXSD-1-G
YS-JSXSD-1	H	Liver	YS-JSXSD-1-H
YS-JSXSD-1	I	Intestine	YS-JSXSD-1-I
YS-JSXSD-1	K	Kidney	YS-JSXSD-1-K
YS-JSXSD-1	M	Muscles	YS-JSXSD-1-M
YS-JSXSD-1	P	Skin	YS-JSXSD-1-P
YS-JSXSD-1	S	Spleen	YS-JSXSD-1-S
YS-JSXSD-2	B	Brain	YS-JSXSD-2-B
YS-JSXSD-2	G	Gill	YS-JSXSD-2-G
YS-JSXSD-2	H	Liver	YS-JSXSD-2-H
YS-JSXSD-2	I	Intestine	YS-JSXSD-2-I
YS-JSXSD-2	K	Kidney	YS-JSXSD-2-K
YS-JSXSD-2	M	Muscles	YS-JSXSD-2-M
YS-JSXSD-2	P	Skin	YS-JSXSD-2-P
YS-JSXSD-2	S	Spleen	YS-JSXSD-2-S
YS-JSXSD-3	B	Brain	YS-JSXSD-3-B
YS-JSXSD-3	G	Gill	YS-JSXSD-3-G
YS-JSXSD-3	H	Liver	YS-JSXSD-3-H
YS-JSXSD-3	I	Intestine	YS-JSXSD-3-I
YS-JSXSD-3	K	Kidney	YS-JSXSD-3-K
YS-JSXSD-3	M	Muscles	YS-JSXSD-3-M
YS-JSXSD-3	P	Skin	YS-JSXSD-3-P
YS-JSXSD-3	S	Spleen	YS-JSXSD-3-S
YS-JTZCS-1	B	Brain	YS-JTZCS-1-B
YS-JTZCS-1	G	Gill	YS-JTZCS-1-G
YS-JTZCS-1	H	Liver	YS-JTZCS-1-H
YS-JTZCS-1	I	Intestine	YS-JTZCS-1-I
YS-JTZCS-1	K	Kidney	YS-JTZCS-1-K
YS-JTZCS-1	M	Muscles	YS-JTZCS-1-M
YS-JTZCS-1	P	Skin	YS-JTZCS-1-P
YS-JTZCS-1	S	Spleen	YS-JTZCS-1-S
YS-JXY-1	B	Brain	YS-JXY-1-B
YS-JXY-1	G	Gill	YS-JXY-1-G
YS-JXY-1	H	Liver	YS-JXY-1-H
YS-JXY-1	I	Intestine	YS-JXY-1-I
YS-JXY-1	K	Kidney	YS-JXY-1-K
YS-JXY-1	M	Muscles	YS-JXY-1-M
YS-JXY-1	P	Skin	YS-JXY-1-P
YS-JXY-1	S	Spleen	YS-JXY-1-S
YS-JXY-2	B	Brain	YS-JXY-2-B
YS-JXY-2	G	Gill	YS-JXY-2-G
YS-JXY-2	H	Liver	YS-JXY-2-H
YS-JXY-2	I	Intestine	YS-JXY-2-I
YS-JXY-2	K	Kidney	YS-JXY-2-K
YS-JXY-2	M	Muscles	YS-JXY-2-M
YS-JXY-2	P	Skin	YS-JXY-2-P
YS-JXY-2	S	Spleen	YS-JXY-2-S
YS-JXY-3	B	Brain	YS-JXY-3-B
YS-JXY-3	G	Gill	YS-JXY-3-G
YS-JXY-3	H	Liver	YS-JXY-3-H
YS-JXY-3	I	Intestine	YS-JXY-3-I
YS-JXY-3	K	Kidney	YS-JXY-3-K
YS-JXY-3	M	Muscles	YS-JXY-3-M
YS-JXY-3	P	Skin	YS-JXY-3-P
YS-JXY-3	S	Spleen	YS-JXY-3-S
YS-JZH-1	B	Brain	YS-JZH-1-B
YS-JZH-1	G	Gill	YS-JZH-1-G
YS-JZH-1	H	Liver	YS-JZH-1-H
YS-JZH-1	I	Intestine	YS-JZH-1-I
YS-JZH-1	K	Kidney	YS-JZH-1-K
YS-JZH-1	M	Muscles	YS-JZH-1-M
YS-JZH-1	P	Skin	YS-JZH-1-P
YS-JZH-1	S	Spleen	YS-JZH-1-S
YS-JZH-2	B	Brain	YS-JZH-2-B
YS-JZH-2	G	Gill	YS-JZH-2-G
YS-JZH-2	H	Liver	YS-JZH-2-H
YS-JZH-2	I	Intestine	YS-JZH-2-I
YS-JZH-2	K	Kidney	YS-JZH-2-K
YS-JZH-2	M	Muscles	YS-JZH-2-M
YS-JZH-2	P	Skin	YS-JZH-2-P
YS-JZH-2	S	Spleen	YS-JZH-2-S
